,Oil,Oil,NZD/USD,NZD/USD,10-Yr Rate,10-Yr Rate,AIR.NZ,AIR.NZ
,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor
2017-01-13,-1.0,BZ=F,0.633,NZDUSD=X,0.805,^TNX,-1.101,AIR.NZ
2017-01-17,0.036,BZ=F,-0.433,NZDUSD=X,-2.227,^TNX,-1.563,AIR.NZ
2017-01-18,-2.794,BZ=F,1.438,NZDUSD=X,2.664,^TNX,1.587,AIR.NZ
2017-01-19,0.445,BZ=F,-1.036,NZDUSD=X,2.93,^TNX,-2.679,AIR.NZ
2017-01-20,2.456,BZ=F,0.915,NZDUSD=X,0.325,^TNX,-0.688,AIR.NZ
2017-01-23,-0.469,BZ=F,-0.052,NZDUSD=X,-2.594,^TNX,0.693,AIR.NZ
2017-01-24,0.38,BZ=F,0.645,NZDUSD=X,2.83,^TNX,0.459,AIR.NZ
2017-01-25,-0.649,BZ=F,0.287,NZDUSD=X,2.104,^TNX,0.457,AIR.NZ
2017-01-26,2.106,BZ=F,0.605,NZDUSD=X,-0.595,^TNX,-3.636,AIR.NZ
2017-01-27,-1.28,BZ=F,-0.764,NZDUSD=X,-1.077,^TNX,0.708,AIR.NZ
2017-01-30,-0.522,BZ=F,0.382,NZDUSD=X,0.081,^TNX,1.171,AIR.NZ
2017-01-31,0.851,BZ=F,0.31,NZDUSD=X,-1.289,^TNX,-2.778,AIR.NZ
2017-02-01,-0.072,BZ=F,-0.012,NZDUSD=X,0.938,^TNX,0.476,AIR.NZ
2017-02-02,1.617,BZ=F,-0.548,NZDUSD=X,-0.162,^TNX,0.237,AIR.NZ
2017-02-03,0.442,BZ=F,0.431,NZDUSD=X,0.85,^TNX,0.709,AIR.NZ
2017-02-06,-1.919,BZ=F,0.399,NZDUSD=X,-3.131,^TNX,,
2017-02-07,-1.202,BZ=F,0.037,NZDUSD=X,-0.995,^TNX,-0.939,AIR.NZ
2017-02-08,0.127,BZ=F,-0.265,NZDUSD=X,-1.591,^TNX,-0.948,AIR.NZ
2017-02-09,0.925,BZ=F,-0.856,NZDUSD=X,1.872,^TNX,0.479,AIR.NZ
2017-02-10,1.923,BZ=F,-0.555,NZDUSD=X,0.585,^TNX,-0.238,AIR.NZ
2017-02-13,-1.958,BZ=F,-0.016,NZDUSD=X,1.038,^TNX,-0.477,AIR.NZ
2017-02-14,0.684,BZ=F,-0.191,NZDUSD=X,1.479,^TNX,0.24,AIR.NZ
2017-02-15,-0.393,BZ=F,-0.106,NZDUSD=X,1.296,^TNX,0.239,AIR.NZ
2017-02-16,-0.179,BZ=F,0.695,NZDUSD=X,-2.078,^TNX,1.909,AIR.NZ
2017-02-17,0.288,BZ=F,-0.1,NZDUSD=X,-1.02,^TNX,1.171,AIR.NZ
2017-02-21,1.523,BZ=F,-0.08,NZDUSD=X,0.082,^TNX,1.174,AIR.NZ
2017-02-22,-1.447,BZ=F,-0.164,NZDUSD=X,-0.371,^TNX,-0.232,AIR.NZ
2017-02-23,1.325,BZ=F,0.243,NZDUSD=X,-1.241,^TNX,4.651,AIR.NZ
2017-02-24,-1.043,BZ=F,0.677,NZDUSD=X,-2.973,^TNX,1.333,AIR.NZ
2017-02-27,-0.107,BZ=F,-0.529,NZDUSD=X,2.244,^TNX,0.877,AIR.NZ
2017-02-28,-0.608,BZ=F,-0.096,NZDUSD=X,-0.464,^TNX,2.826,AIR.NZ
2017-03-01,0.018,BZ=F,-0.182,NZDUSD=X,4.453,^TNX,2.96,AIR.NZ
2017-03-02,-0.935,BZ=F,-0.802,NZDUSD=X,1.056,^TNX,-1.437,AIR.NZ
2017-03-03,1.489,BZ=F,-0.735,NZDUSD=X,0.121,^TNX,0.833,AIR.NZ
2017-03-06,0.197,BZ=F,-0.351,NZDUSD=X,0.08,^TNX,0.413,AIR.NZ
2017-03-07,-0.161,BZ=F,-0.618,NZDUSD=X,0.682,^TNX,-0.206,AIR.NZ
2017-03-08,-5.025,BZ=F,-0.43,NZDUSD=X,1.633,^TNX,-0.412,AIR.NZ
2017-03-09,-1.732,BZ=F,-0.678,NZDUSD=X,1.803,^TNX,2.808,AIR.NZ
2017-03-10,-1.571,BZ=F,-0.292,NZDUSD=X,-0.616,^TNX,-0.84,AIR.NZ
2017-03-13,-0.039,BZ=F,0.391,NZDUSD=X,1.007,^TNX,-1.271,AIR.NZ
2017-03-14,-0.837,BZ=F,-0.079,NZDUSD=X,-0.498,^TNX,-2.146,AIR.NZ
2017-03-15,1.748,BZ=F,0.163,NZDUSD=X,-3.353,^TNX,0.0,AIR.NZ
2017-03-16,-0.135,BZ=F,1.415,NZDUSD=X,0.558,^TNX,0.877,AIR.NZ
2017-03-17,0.039,BZ=F,-0.629,NZDUSD=X,-0.833,^TNX,-0.217,AIR.NZ
2017-03-20,-0.27,BZ=F,0.65,NZDUSD=X,-1.12,^TNX,-0.218,AIR.NZ
2017-03-21,-1.279,BZ=F,0.293,NZDUSD=X,-1.496,^TNX,-0.655,AIR.NZ
2017-03-22,-0.628,BZ=F,-0.111,NZDUSD=X,-1.642,^TNX,1.099,AIR.NZ
2017-03-23,-0.158,BZ=F,-0.014,NZDUSD=X,0.918,^TNX,0.0,AIR.NZ
2017-03-24,0.475,BZ=F,-0.158,NZDUSD=X,-0.744,^TNX,0.0,AIR.NZ
